ID_Recipe,Title,Ingredients,PrepTime,Instruction,Image
1,Lasanha a bolonhesa,"Macarrão, frango cozido, creme de leite, presunto, mussarela, oregáno, pimentão",50 min,"Antes de iniciar o processo, pré-cozinhe o macarrão. Em um forma coloque um pouco de creme de leite para untar, depois coloque uma camada de macarrão, uma camada do recheio de frango, presunto, mussarela. Se sua forma for grande o suficiente, faça mais camadas repetindo o processo anterior, e por fim coloque bastante mussarela e se desejar coloque orégano por cima e rodelas de pimentão",http://massasditalia.ind.br/wp-content/uploads/2017/10/lasanha-frango-receito-804x570.jpg
2,Sopa,"Macarrão, cenoura, cebola, beterraba, batata, pimentão, tempero a gosto",30 min,"Pique todos os legumes e cozinhe com temperos de sua preferências, após cozidos adicione o macarrão e cozinhe-o no caldo dos legumes.",https://assets.unileversolutions.com/recipes-v2/36850.jpg
3,Mousse de maracujá,"Leite condensado, creme de leite, suco de maracujá",15 min,"Bata tudo em um liquidificador, depois coloque tudo em um recipiente e leve para a geladeira por 1 hora.",https://static.itdg.com.br/images/360-240/8fed8f60d3c8e3990396e2478cbc7f2a/shutterstock-1905617575-1-.jpg
4,Rocambole,"Leite em pó, chocolate em pó, leite condensado",45 min,"Faça uma massa misturando o chocolate em pó com leite condensado e faça outra com leite ninho e leite condensado. Abra a massa de chocolate em pó e recheie com a massa de leite ninho. Após isso leve a geladeira por trinta minutos e está pronto para consumo. OBS: se gostar, adicione coco a massa branca.",https://receitinhas.com.br/wp-content/uploads/2017/12/Rocambole-prestigio-Porkworld-Receitas.png
5,Macarrão ao molho branco,"Macarrão, leite, cebola, maizena, tempero a gosto, manteiga",25 min,"O primeiro passo é fazer o molho branco: pique a cebola, refogue-a em uma panela com manteiga, adicione leite e tempero a gosto, cozinhe o leite um pouco, adicione a maizena para engrossar o caldo, sempre mexendo para não grudar. Ferva o macarrão e quando estiver cozido, junte-o com o molho.",https://static.itdg.com.br/images/1200-675/55ab65e5ddedf459e3c2654d7769bf8e/353696-original.jpg
6,Mousse de Limão,"Leite condensado, creme de leite, suco de limão",15 min,"Bata tudo em um liquidificador, depois coloque tudo em um recipiente e leve para a geladeira por 1 hora.",https://blog.supernovaera.com.br/wp-content/uploads/2022/09/como-fazer-mousse-de-limao.jpeg
7,Salada de tomate e beterraba,"Tomate, beterraba, vinagre, tempero a gosto",5 min,"Rale o tomate e a beterraba, tempere com tempero a gosto e vinagre",https://cdn7.kiwilimon.com/recetaimagen/16178/640x960/27815.jpg.webp
8,Estrogonofe,"Frango cortado em cubos, cebola, creme de leite, molho de tomate, tempero a gosto",35 min,"Refogue a cebola em um fio de óleo, adicione o frango e refogue com tempero. Adicione água e cozinhe o frango por 20 minutos. Reduza a água, adicione o creme de leite e um pouco de molho de tomate. Sirva e coma com batata palha se preferir",https://www.minhareceita.com.br/app/uploads/2020/09/Estrogonofe-saudavel-desktop.jpg
9,Caldo de frango,"Frango, tempero a gosto, mandioca",30 min,"Cozinhe o frango e a mandioca juntos com tempero a gosto, depois de cozidos bata os dois (desfie o frango se preferir algo mais consistente), acerte o tempero e sirva com ovo de codorna cozido, pururuca, queijo ralado e coentro (essa parte é opcional).",https://www.sabornamesa.com.br/media/k2/items/cache/32cf2b18bc061b77e56b5783aff01222_XL.jpg
10,Caldo de peixe,"Peixe, tempero a gosto, mandioca",30 min,"Cozinhe o peixe e a mandioca juntos com tempero a gosto, depois de cozidos bata os dois (desfie o peixe se preferir algo mais consistente), acerte o tempero e sirva com ovo de codorna cozido, pururuca, queijo ralado e coentro (essa parte é opcional).",https://www.receiteria.com.br/wp-content/uploads/receitas-de-caldo-de-peixe-9.jpg
11,Feijoada,"Feijão preto, linguiça calabresa, linguiça caseira, orelha de porco, carne de gado, tempero a gosto",70 min,Frite as carnes e linguiças. Coloque tudo em uma panela com os temperos e sua preferência e deixe cozinhando até o feijão amolecer.,https://csc.princesasupermercados.com.br/blog/wp-content/uploads/2023/08/drinks-do-carnaval.png
12,Hambúrguer,"Pão, mussarela, queijo cheddar, hambúrguer congelado, alface, tomate, bacon, ovo, maionese",25 min,"Frite o hambúguer, bacon e o ovo. Corte o pão, o alface e o tomate. Após isso coloque tudo dentro do pão, esquente na chapa e seja feliz.",https://www.estadao.com.br/resizer/YIBfPUoXUOKRYG7IVo-jptwsSFY=/720x503/filters:format(jpg):quality(80):focal(3070x2285:3080x2295)/cloudfront-us-east-1.images.arcpublishing.com/estadao/L3LYN5Y4MRG6BB47MNHEEXDRGA.jpeg
13,Geladinho de maracujá cremoso,"Leite, suco de maracujá, leite condensado",15 min,"Bata tudo em um liquidificador e coloque em saquinhos de geladinhos, deixe na geladeira até congelar",https://receitatodahora.com.br/wp-content/uploads/2023/09/geladinho-cremoso-26-0911.jpg
14,Fígado acebolado,"Fígado, cebola, tempero a gosto",10 min,"Tempere o fígado com tempero de sua preferência. Em uma frigideira coloque um fio de óleo e coloque o fígado e a cebola, passe tudo até atingir o ponto de sua preferência.",https://comidinhasdochef.com/wp-content/uploads/2019/08/Bife-de-F%C3%ADgado-Acebolado.jpg
15,Misto quente,"Pão de forma, queijo, presunto, manteiga",5 min,"Passe a manteiga na parte externa do pão, na interna coloque a mussarela e o presunto, coloque tudo em uma misteira ou em uma frigideira e espere até derreter o queijo e dourar o pão.",https://app.docemeu.com.br/wp-content/uploads/2022/11/17-Misto-Quente.png